,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,1,1,1|3,1,1,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
,,,,999,,,,,,,,,,,8,,,,,,,,,,,,,,,,0
1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,8,,,,,,,,,,,,,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,998,,,,,,0
,,,,9,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,,,,0
,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,9,,,,,,,,,,,,,,,,998,,,,,,,,,,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
